N_DISC,treatment_value_idx,T,EPOs_1,EPOs_2,true_effect
18,12,0.5333331823348999,-1.064741611480713,-1.0667157173156738,-0.924444222980064
18,13,0.5603739619255066,-0.9303234815597534,-0.8919037580490112,-0.9637384352489686
18,14,0.5873268246650696,-1.1175073385238647,-1.0918408632278442,-1.0021772498445625
18,15,0.6221434473991394,-0.7694175839424133,-0.7983271479606628,-1.050755660227436
18,16,0.6657360792160034,-1.095118522644043,-1.008541464805603,-1.1098698948470584
18,17,0.7693495154380798,-0.5322546362876892,,-1.2427496924237555
19,0,0.1433076560497284,,-0.3694445490837097,-0.27634676995822316
19,1,0.2342008352279663,-0.7738775014877319,-0.7910271286964417,-0.4409766548451941
19,2,0.28253817558288574,-0.822335958480835,-0.7531768679618835,-0.5251624408349187
19,3,0.31633639335632324,-0.8768609166145325,-0.8817844986915588,-0.5826384298318033
19,4,0.34497225284576416,-0.8566265106201172,-0.8469884991645813,-0.6304415780747874
19,5,0.37064996361732483,-0.6701140999794006,-0.6631581783294678,-0.6726092294698875
19,6,0.392326295375824,-0.911899745464325,-0.9365811347961426,-0.7076926297299888
19,7,0.4115715026855469,-0.6756285429000854,-0.6659057140350342,-0.7384474544596742
19,8,0.4348626136779785,-0.6654996871948242,-0.6347262859344482,-0.7751724809685356
19,9,0.4575273096561432,-1.3718537092208862,-1.4539626836776733,-0.8103889997716922
19,10,0.47656118869781494,-0.8710156679153442,-0.8823990821838379,-0.8395670941090927
19,11,0.4964807331562042,-1.2542797327041626,-1.202298641204834,-0.8697149071147474
19,12,0.5170812010765076,-0.7851018905639648,-0.7869952917098999,-0.9004759178996533
19,13,0.54049152135849,-0.990170955657959,-0.969409167766571,-0.9349175003867725
19,14,0.5669419765472412,-0.9682464003562927,-0.9669663310050964,-0.9731723507088361
19,15,0.5930102467536926,-1.0052064657211304,-1.0136195421218872,-1.0101899171299475
19,16,0.62770676612854,-0.9125193357467651,-0.9513065814971924,-1.0584056401353052
19,17,0.670184850692749,-1.0293606519699097,-0.9523252248764038,-1.115795834336467
19,18,0.7731478214263916,-0.5449801683425903,,-1.2474168659645954
20,0,0.1398172527551651,,-0.3682936131954193,-0.26986007342632934
20,1,0.22950336337089539,-0.5560543537139893,-0.5745811462402344,-0.43267082984251415
20,2,0.2772357165813446,-1.1036229133605957,-1.0673624277114868,-0.5160416118885034
20,3,0.3111494183540344,-0.7505354881286621,-0.7386410236358643,-0.5738918564370419
20,4,0.33892321586608887,-0.9136540293693542,-0.8844624161720276,-0.620411958605672
20,5,0.36336833238601685,-0.7488460540771484,-0.7592718601226807,-0.6607183922815363
20,6,0.38591471314430237,-0.882225751876831,-0.892446756362915,-0.6973643433779801
20,7,0.4040919244289398,-0.7446275353431702,-0.7740536332130432,-0.7265387071635376
20,8,0.4243887662887573,-0.6055430173873901,-0.5413301587104797,-0.7587246201014679
20,9,0.44772547483444214,-1.0965523719787598,-1.1043486595153809,-0.7952218992610209
